"Алхо","О ","Октябрьская",22423,"Хийтола-11, Янисъярви-136",,
"Алчан","О ","Дальневосточная",972312,"Хабаровск I-260, Сибирцево-326",,
"Альба","Б 1,3","Дальневосточная",997907,"Корсаков-586, Холмск-579",,
"Альмеж","Б 3","Горьковская",272509,"Матанцы-196, Котлас-Узловой-167",,
"Альметьевская","Б 1,3","Куйбышевская",647905,"Акбаш-79, Агрыз-222",,
"Альмухамедово","О 3","Южно-Уральская",818209,"Карталы I-216, Карламан-370",,
"Алябьево","П 3,8Н,10Н,11Н,12Н","Свердловская",778209,"Ивдель II-146",,
"Амазар","П 1,3","Забайкальская",951104,"Бамовская-269, Карымская-712",,
"Амбарный","П 3","Октябрьская",13706,"Беломорск-181, Кандалакша-202",,
"Амга","О ","""ОАО АК """"Железные дороги Якутии""""""",914228,"Тында-690, Новый Ургал-1587","Томмот (ЖДЯ) - 100 км Нижний Бестях - 338 км Нерюнгри-Пассажирская (ДВЖД) - 461 км",
"Амган (рзд.)","О ","Дальневосточная",916717,"Тында-832, Новый Ургал-119",,
"Амгунь","Б 1,3","Дальневосточная",918801,"Комсомольск-Сортировочный-262","Расстояние до железнодорожной станции Ургал I - 251 км",
"Аметхан-Султан (ОП.)","О ","""ФГУП """"КЖД""""""",858719,,,
"Амзя","Б 3,8Н,10Н,11Н","Горьковская",257509,"Кама-21, Дружинино-381",,
"Амировка (рзд.)","О ","Куйбышевская",646616,"Ульяновск-Центральный-135, Акбаш-213",,
"Амосово (ОП.)","Б ","Горьковская",243559,,,
"Амре (ОП.)","О ","Западно-Сибирская",834517,,,
"Амта (рзд.)","О ","Северо-Кавказская",519124,"Куберле-19, Волгоград II-275",,
"Амур","Б 3","Дальневосточная",970302,"Дежневка-30, Хабаровск I-8",,
"Амурская","О 3","Забайкальская",956502,"Белогорск-177, Волочаевка I-458",,
"Амурский (рзд.)","О ","Дальневосточная",960052,"Комсомольск-Сортировочный-14, Ванино-439",,
"Амурский Залив (ОП.)","О ","Дальневосточная",982117,,,
"Амут (рзд.)","Х ","Дальневосточная",911713,"Новый Ургал-882","Участок Бестужево (рзд) - Новый Ургал. Расстояние до разъезда Бестужево 42 км",
"Амшор (рзд.)","О ","Северная",288946,"Сосногорск-559",,
"Анамакит","О ","Восточно-Сибирская",903539,"Лена-506, Новый Ургал-2073",,
"Анамжак (ОП.)","О ","Забайкальская",949369,,,
"Анапа","Б 1,4","Северо-Кавказская",522803,"Крымская-95, Тимашевская-199",,
"Анастасьевка (ОП.)","О ","Московская",206329,,,
"Анатолий (ОП.)","О ","Западно-Сибирская",841614,,,
"Анатольская (ОБП.)","О ","Свердловская",770635,"Екатеринбург-Сортировочный-113, Смычка-30",,
"Анбашская","О ","Южно-Уральская",802766,"Шарташ-168, Электростанция-94",,
"Ангаракан (рзд.)","Б ","Восточно-Сибирская",903929,"Лена-623, Новый Ургал-1956",,
"Ангарич","О ","Забайкальская",952150,"Бамовская-88, Белогорск-504",,
"Ангарск","П ","Восточно-Сибирская",932029,"Тайшет-630, Иркутск-Пассажирский-40",,
"Ангасолка","О 3","Восточно-Сибирская",933200,"Иркутск-Пассажирский-99, Улан-Удэ-357",,
"Ангелинская","П 1,3,4","Северо-Кавказская",522305,"Тимашевская-48, Крымская-72",,
"Ангоя","О 3","Восточно-Сибирская",903505,"Лена-460, Новый Ургал-2119",,
"Андома (ОП.)","О ","Северная",305416,,,
"Андосово (ОБП.)","О ","Горьковская",245037,"Арзамас II-134, Канаш-121",,
"Андреаполь","Б 1,3","Октябрьская",67903,"Великие Луки-120, Соблаго-36",,
"Андреевка","Б ","Юго-Восточная",605832,"Ртищево I-37, Балашов-Пассажирский-72",,
"Андреево","О 1","Октябрьская",45603,"Волховстрой I-49, Ирса-14",,
"Андреедмитриевка","Б 1,3","Северо-Кавказская",536007,"Армавир-Ростовский-23, Туапсе-Сортировочная-211",,
"Андрейшур (ОП.)","О ","Горьковская",277714,,,
"Андриановичи","П 3","Свердловская",776504,"Серов-Сортировочный-36, Ивдель II-96",,
"Андриановская","О ","Восточно-Сибирская",933144,"Иркутск-Пассажирский-88, Улан-Удэ-368",,
"Андроновка (ОП.)","О ","Московская",193928,,,
"Андроновка","Х ","Московская",199318,"Москва-Бутырская-0",,
"Анжерская","П 1,3","Западно-Сибирская",875907,"ТП",,
"Анзеби","Б 3,8Н,10Н,11Н,12Н","Восточно-Сибирская",924906,"Тайшет-293, Лена-427",,
"Аникеевка (ОП.)","О ","Московская",196536,,,
"Аникино (ОП.)","О ","Свердловская",762323,,,
"Анилиновая","О ","Московская",225847,"Новомосковская II-15, Узловая I-28",,
"Анисимовка","Б 3","Дальневосточная",983603,"Находка-92, Угловая-72",,
"Анисовка","Б 1,2,3,4,5,8,10","Приволжская",625501,"Урбах-66, Саратов II-Товарный-22",,
"Аниховка (узк.)","О ","Южно-Уральская",815766,"Карталы I-222, Никель-181",,
"Анкудиновка (ОП.)","О ","Горьковская",269455,,,
"Анна","П 1,2,3,4","Юго-Восточная",591201,"Грязи-Воронежские-163, Отрожка-121",,
"Анненково (рзд.)","О ","Куйбышевская",643923,"Инза-152, Ульяновск-Центральный-9",,
"Анненск (ОБП.)","Б ","Южно-Уральская",816928,"Карталы I-25, Карламан-427",,
"Аносово",3,"Южно-Уральская",806409,"Бердяуш-40, Полетаево I-146",,
"Аносовская","Б ","Дальневосточная",910424,"Тында-98, Бамовская-82",,
"Аношкино (ОП.)","О ","Юго-Восточная",597335,,,
"Антабары (рзд.)","О ","Свердловская",767331,"Няр-95, Чусовская-9",,
"Антибесский (ОБП.)","О ","Западно-Сибирская",876539,"Тайга-135, Ачинск I-214",,
"Антипиха","Б 1,3","Забайкальская",942302,"Карымская-90, Заудинский-555",,
"Антонины Петровой (ОП.)","О ","Октябрьская",72117,,,
"Антропово","Б 3","Северная",306300,"Галич-46, Котельнич I-323",,
"Антропово (ОП.)","О ","Красноярская",884041,,,
"Антропшино (эксп.)",,"Октябрьская",32603,"Батецкая-114, Павловск-7",,
"Антропшино","Б 1,3,8Н,10Н","Октябрьская",32406,"Батецкая-114, Павловск-7",,
"Анучино (рзд.)","О ","Куйбышевская",630923,"Рузаевка-46, Пенза I-96",,
"Анциферово","О ","Московская",194757,"Люберцы I-56, Куровская-11",,
"Анциферово-Мологское","Б 1,2,3","Октябрьская",44206,"Неболчи-44, Кабожа-67",,
